id_parque,nome,activo,id_entidade,capacidade_max,ocupacao,data_ocupacao,latitude,longitude,tipo,data_ocupacao_hora,data_ocupacao_data
P065,LIDL Av. Inf. D. Henrique,1,7,114,34,2023-03-27 12:01:21,38.7574416099006,-9.10375700300085,Superfície,12,2023-03-27
P042,Alcântara,1,7,82,57,2023-03-27 12:01:25,38.706007,-9.175066,Superfície,12,2023-03-27
P064,Olivais,1,7,89,42,2023-03-27 12:01:21,38.716819,-9.128867,Estrutura,12,2023-03-27
P043,Ameixoeira,1,7,71,56,2023-03-27 12:01:22,38.779591,-9.158056,Superfície,12,2023-03-27
P061,Parque Vila Maria,1,7,68,36,2023-03-27 12:01:21,38.725041,-9.166372,Estrutura,12,2023-03-27
P035,Parque Mayer,1,7,46,32,2023-03-27 12:01:23,38.719062,-9.145547,Superfície,12,2023-03-27
P062,Parque da Graça,1,7,30,10,2023-03-27 12:01:22,38.716819,-9.128867,Estrutura,12,2023-03-27
P037,Rego,1,7,118,58,2023-03-27 12:01:22,38.744582,-9.159954,Estrutura,12,2023-03-27
P063,Cosme Damião,1,7,133,19,2023-03-27 12:01:21,38.716819,-9.128867,Estrutura,12,2023-03-27
P030,Combatentes,1,7,30,25,2023-03-27 12:01:24,38.745735,-9.162904,Superfície,12,2023-03-27
P057,Manuel Gouveia,1,7,90,114,2023-03-27 12:01:22,38.744327,-9.130995,Estrutura,12,2023-03-27
P031,Calçada do Combro,1,7,89,49,2023-03-27 12:01:24,38.711188,-9.147541,Estrutura,12,2023-03-27
P044,Telheiras Nascente,1,7,26,1,2023-03-27 12:01:22,38.761512,-9.164886,Estrutura,12,2023-03-27
P032,Estrada da Luz,1,7,96,47,2023-03-27 12:01:24,38.749827,-9.170943,Superfície,12,2023-03-27
P048,Campo das Cebolas,1,7,105,96,2023-03-27 12:01:22,38.70888,-9.131141,Estrutura,12,2023-03-27
P033,Lumiar,1,7,56,32,2023-03-27 12:01:23,38.773079,-9.159321,Estrutura,12,2023-03-27
P040,Mercado de Alvalade,1,7,93,23,2023-03-27 12:01:23,38.755424,-9.139498,Superfície,12,2023-03-27
P034,Avenida Lusíada,1,7,92,54,2023-03-27 12:01:23,38.75214,-9.188309,Superfície,12,2023-03-27
P025,Campo Grande,1,7,88,88,2023-03-27 12:01:24,38.757586,-9.155495,Superfície,12,2023-03-27
P027,Casal Vistoso,1,7,55,46,2023-03-27 12:01:24,38.742375,-9.128965,Estrutura,12,2023-03-27
P028,Chão do Loureiro,1,7,70,70,2023-03-27 12:01:23,38.712416,-9.135017,Estrutura,12,2023-03-27
P029,Colégio Militar,1,7,255,223,2023-03-27 12:01:23,38.752172,-9.188327,Superfície,12,2023-03-27
P020,Sousa Pinto,1,7,35,13,2023-03-27 12:01:25,38.724475,-9.157032,"Superfície
",12,2023-03-27
P023,Areeiro,1,7,60,46,2023-03-27 12:01:24,38.744081,-9.132344,Superfície,12,2023-03-27
P024,Belém,1,7,75,29,2023-03-27 12:01:24,38.69723,-9.203909,Superfície,12,2023-03-27
P016,Universidade,1,7,146,146,2023-03-27 12:01:25,38.750671,-9.158464,Superfície,12,2023-03-27
P021,Alto dos Moinhos,1,7,144,66,2023-03-27 12:01:25,38.74784,-9.177575,Estrutura,12,2023-03-27
P058,Campo de Ourique,1,7,54,18,2023-03-27 12:01:22,38.719168,-9.170647,Estrutura,12,2023-03-27
